week_id,pipeline,gen_model,day_evaluated,fact_id,fact_day,fact_type,fact_text,verdict_strict,evidence_strict,verdict_lenient,evidence_lenient
1,decoupled,openai-4.1-mini,7,f14,4,emotional,Described the current situation as a decisive moment with high stakes.,YES,a decisive moment” for Arctic sovereignty,YES,declaring this “a decisive moment” for Arctic sovereignty.
1,decoupled,openai-4.1-mini,7,f15,4,named_entity,Referenced Denmark's commitment to international law and peoples' right to self-determination.,YES,She emphasized the primacy of international law and the right to self-determination,YES,"She emphasized the primacy of international law and the right to self-determination,"
1,decoupled,openai-4.1-mini,7,f16,4,relational,"Noted Denmark's readiness to defend its values, including in the Arctic region.",YES,Denmark was prepared to defend its values and the Arctic region,YES,warning that Denmark was prepared to defend its values and the Arctic region against any encroachment.
1,decoupled,openai-4.1-mini,7,f17,5,relational,urged the United States to stop threats against a historically close ally and Greenland.,NO,,NO,
1,decoupled,openai-4.1-mini,7,f18,5,named_entity,stated the Kingdom of Denmark and Greenland are part of NATO with security guarantees.,YES,"Greenland’s allegiance to Denmark, NATO, and the EU is non-negotiable",NO,
1,decoupled,openai-4.1-mini,7,f19,5,named_entity,confirmed a defense agreement grants the United States wide access to Greenland.,NO,,NO,
1,decoupled,openai-4.1-mini,7,f20,6,relational,stated there is a conflict over Greenland between Denmark and the United States,YES,a decisive moment” for Arctic sovereignty,YES,this “a decisive moment” for Arctic sovereignty.
1,decoupled,openai-4.1-mini,7,f21,6,emotional,"expressed firm resolve that Denmark is ready to defend its values wherever necessary, including the Arctic",YES,Denmark was prepared to defend its values and the Arctic region,YES,warning that Denmark was prepared to defend its values and the Arctic region against any encroachment.
1,decoupled,openai-4.1-mini,7,f22,6,relational,affirmed belief in international law and peoples' right to self-determination,YES,She emphasized the primacy of international law and the right to self-determination,YES,"She emphasized the primacy of international law and the right to self-determination,"
1,decoupled,openai-4.1-mini,7,f23,6,emotional,described the current situation as a decisive moment with stakes beyond Greenland's immediate future,YES,a decisive moment” for Arctic sovereignty,YES,declaring this “a decisive moment” for Arctic sovereignty.
1,decoupled,openai-4.1-mini,7,f24,7,relational,"Nielsen stated Greenland chooses Denmark, NATO, and the EU over the United States.",YES,"Greenland’s allegiance to Denmark, NATO, and the EU is non-negotiable",YES,Greenland’s Prime Minister Nielsen reaffirmed this allegiance
1,decoupled,openai-4.1-mini,7,f25,7,emotional,Nielsen expressed Greenland's firm rejection of US ownership or governance.,YES,Greenland’s Prime Minister Nielsen reaffirmed this allegiance and outright rejected any notion of U.S. ownership or governance,YES,outright rejected any notion of U.S. ownership or governance.
1,decoupled,openai-4.1-mini,7,f26,7,named_entity,Nielsen referenced NATO as a source of support for Greenland.,YES,"Greenland’s allegiance to Denmark, NATO, and the EU is non-negotiable",YES,"Greenland’s allegiance to Denmark, NATO, and the EU is non-negotiable."
1,decoupled,openai-4.1-mini,7,f27,7,relational,Frederiksen described US pressure on Denmark as completely unacceptable.,YES,"Frederiksen entered the fray with a resolute stance, declaring this “a decisive moment” for Arctic sovereignty",YES,"Frederiksen entered the fray with a resolute stance, declaring this “a decisive moment” for Arctic sovereignty."
