week_id,pipeline,gen_model,day_evaluated,fact_id,fact_day,fact_type,fact_text,verdict_strict,evidence_strict,verdict_lenient,evidence_lenient
1,decoupled,openai-4.1-mini,7,f10,4,emotional,felt proud after finishing her client’s rehabilitation successfully.,YES,"culminated in a triumphant rehabilitation success story, leaving the star glowing with pride and fulfillment.",YES,"culminated in a triumphant rehabilitation success story, leaving the star glowing with pride"
1,decoupled,openai-4.1-mini,7,f11,4,quantitative,worked 8 hours at the clinic.,YES,a full eight-hour clinic shift,YES,a full eight-hour clinic shift
1,decoupled,openai-4.1-mini,7,f12,4,relational,argued with her partner about weekend plans.,YES,the day also brought a tiff with their partner over weekend plans,YES,a tiff with their partner over weekend plans
1,decoupled,openai-4.1-mini,7,f13,5,named_entity,met with her running club at Frogner Park.,YES,Friday’s group run at Frogner Park,YES,group run at Frogner Park
1,decoupled,openai-4.1-mini,7,f14,5,quantitative,ran 12 kilometers during the club meet.,YES,pounded out 12 kilometers with renewed vigor,YES,pounded out 12 kilometers
1,decoupled,openai-4.1-mini,7,f15,5,emotional,felt motivated by her running peers.,YES,the star surrounded by running club peers whose motivation was infectious,YES,the star surrounded by running club peers whose motivation was infectious
1,decoupled,openai-4.1-mini,7,f16,6,relational,had a long conversation with her mentor about career goals.,YES,Saturday’s deep dive with a trusted mentor into career goals,YES,deep dive with a trusted mentor into career goals
1,decoupled,openai-4.1-mini,7,f17,6,quantitative,spent 30 minutes studying new physiotherapy techniques.,YES,a commitment to study innovative recovery methods for athletes,YES,a commitment to study innovative recovery methods for athletes
1,decoupled,openai-4.1-mini,7,f18,6,emotional,felt inspired after the conversation.,YES,I felt inspired and motivated after talking with my mentor,YES,I felt inspired and motivated after talking with my mentor
1,decoupled,openai-4.1-mini,7,f19,7,named_entity,visited the Holmenkollen Ski Museum.,YES,a visit to Holmenkollen Ski Museum,YES,a visit to Holmenkollen Ski Museum
1,decoupled,openai-4.1-mini,7,f20,7,quantitative,ran a total of 20 kilometers during the weekend.,YES,a weekend total of 20 kilometers run,YES,a weekend total of 20 kilometers run
1,decoupled,openai-4.1-mini,7,f21,7,emotional,felt relaxed after a week of training and work.,YES,I felt relaxed after a week of training and work,YES,I felt relaxed after a week of training and work
2,neutral,openai-4.1-mini,7,f01,1,named_entity,attended a parents' evening at Manchester Academy,YES,attended a parents' evening at Manchester Academy,YES,attended a parents' evening at Manchester Academy
2,neutral,openai-4.1-mini,7,f02,1,emotional,felt proud of his daughter's academic achievements,NO,,YES,teachers praised the daughter’s academic strengths
2,neutral,openai-4.1-mini,7,f03,1,relational,had a long chat with his daughter about her university choices,NO,,NO,
2,neutral,openai-4.1-mini,7,f04,2,quantitative,spent 3 hours helping his daughter with her personal statement,YES,around three hours spent helping draft the daughter’s personal statement,YES,around three hours spent helping draft the daughter’s personal statement
2,neutral,openai-4.1-mini,7,f05,2,emotional,felt overwhelmed by the university application process,YES,which was challenging,YES,which was challenging
2,neutral,openai-4.1-mini,7,f06,2,relational,joined a support group for parents of university applicants,YES,led the user to join a parent support group,YES,led the user to join a parent support group
2,neutral,openai-4.1-mini,7,f07,3,named_entity,visited the University of Manchester campus,YES,45-minute visit to the University of Manchester campus,YES,45-minute visit to the University of Manchester campus
2,neutral,openai-4.1-mini,7,f08,3,quantitative,spent 45 minutes walking around the campus,YES,45-minute visit to the University of Manchester campus,YES,45-minute visit to the University of Manchester campus
2,neutral,openai-4.1-mini,7,f09,3,emotional,felt excited about his daughter's potential future,NO,,YES,positively motivated the daughter
2,neutral,openai-4.1-mini,7,f10,4,relational,discussed university finances with his brother,YES,consulted their brother about finances,YES,consulted their brother about finances
2,neutral,openai-4.1-mini,7,f11,4,quantitative,budgeted £300 for application fees and travel costs,YES,budgeting approximately £300 for application fees and travel,YES,budgeting approximately £300 for application fees and travel
2,neutral,openai-4.1-mini,7,f12,4,emotional,felt anxious about the financial implications of university,YES,amid concerns about balancing costs,YES,amid concerns about balancing costs
2,neutral,openai-4.1-mini,7,f13,5,named_entity,"met with the head of the history department, Mr. Johnson",YES,"meeting with Mr. Johnson, head of the history department",YES,"meeting with Mr. Johnson, head of the history department"
2,neutral,openai-4.1-mini,7,f14,5,relational,received advice on university applications from Mr. Johnson,NO,,YES,who advised emphasizing history-related extracurriculars in the personal statement
2,neutral,openai-4.1-mini,7,f15,5,emotional,felt reassured by Mr. Johnson's support,NO,,YES,boosting the user’s confidence
2,neutral,openai-4.1-mini,7,f16,6,quantitative,reviewed 5 different universities with his daughter,YES,reviewing five universities,YES,reviewing five universities with strong history programs
2,neutral,openai-4.1-mini,7,f17,6,emotional,felt a mix of excitement and apprehension about the future,YES,Both felt excitement and apprehension about the future,YES,Both felt excitement and apprehension about the future
2,neutral,openai-4.1-mini,7,f18,6,relational,bonded with his daughter over shared interests in history,NO,,NO,
2,neutral,openai-4.1-mini,7,f19,7,named_entity,attended a university open day at Liverpool Hope University,YES,attended a four-hour open day at Liverpool Hope University,YES,attended a four-hour open day at Liverpool Hope University
2,neutral,openai-4.1-mini,7,f20,7,quantitative,spent 4 hours at the open day,YES,four-hour open day at Liverpool Hope University,YES,four-hour open day at Liverpool Hope University
2,neutral,openai-4.1-mini,7,f21,7,emotional,felt hopeful about the opportunities available for his daughter,YES,felt hopeful about the opportunities for their daughter,YES,felt hopeful about the opportunities for their daughter
2,stylized,openai-4.1-mini,7,f01,1,named_entity,attended a parents' evening at Manchester Academy,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f02,1,emotional,felt proud of his daughter's academic achievements,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f03,1,relational,had a long chat with his daughter about her university choices,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f04,2,quantitative,spent 3 hours helping his daughter with her personal statement,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f05,2,emotional,felt overwhelmed by the university application process,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f06,2,relational,joined a support group for parents of university applicants,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f07,3,named_entity,visited the University of Manchester campus,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f08,3,quantitative,spent 45 minutes walking around the campus,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f09,3,emotional,felt excited about his daughter's potential future,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f10,4,relational,discussed university finances with his brother,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f11,4,quantitative,budgeted £300 for application fees and travel costs,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f12,4,emotional,felt anxious about the financial implications of university,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f13,5,named_entity,"met with the head of the history department, Mr. Johnson",UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f14,5,relational,received advice on university applications from Mr. Johnson,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f15,5,emotional,felt reassured by Mr. Johnson's support,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f16,6,quantitative,reviewed 5 different universities with his daughter,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f17,6,emotional,felt a mix of excitement and apprehension about the future,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f18,6,relational,bonded with his daughter over shared interests in history,UNCLEAR,,UNCLEAR,
2,stylized,openai-4.1-mini,7,f19,7,named_entity,attended a university open day at Liverpool Hope University,YES,attended a university open day at Liverpool Hope University,YES,attended a university open day at Liverpool Hope University
2,stylized,openai-4.1-mini,7,f20,7,quantitative,spent 4 hours at the open day,YES,immersed themselves in a four-hour deep dive at this charming institution,YES,immersed themselves in a four-hour deep dive at this charming institution
2,stylized,openai-4.1-mini,7,f21,7,emotional,felt hopeful about the opportunities available for his daughter,YES,"the star’s candid revelation that her daughter’s excitement visibly surged after the visit is a rare, heartwarming glimpse into the alchemy of hope and possibility",YES,"this visit seems to have expanded their horizons, nudging them toward new possibilities"
2,decoupled,openai-4.1-mini,7,f01,1,named_entity,attended a parents' evening at Manchester Academy,YES,At Manchester Academy’s parents’ evening,YES,At Manchester Academy’s parents’ evening
2,decoupled,openai-4.1-mini,7,f02,1,emotional,felt proud of his daughter's academic achievements,YES,I felt really proud of my daughter’s academic achievements,YES,I felt really proud of my daughter’s academic achievements
2,decoupled,openai-4.1-mini,7,f03,1,relational,had a long chat with his daughter about her university choices,YES,we had a long chat about her university choices,YES,we had a long chat about her university choices
2,decoupled,openai-4.1-mini,7,f04,2,quantitative,spent 3 hours helping his daughter with her personal statement,YES,I spent about three hours today helping her with her personal statement,YES,I spent about three hours today helping her with her personal statement
2,decoupled,openai-4.1-mini,7,f05,2,emotional,felt overwhelmed by the university application process,YES,"I must admit, I’m feeling a bit overwhelmed by the whole thing",YES,"I must admit, I’m feeling a bit overwhelmed by the whole thing"
2,decoupled,openai-4.1-mini,7,f06,2,relational,joined a support group for parents of university applicants,YES,I joined a support group for parents of university applicants recently,YES,I joined a support group for parents of university applicants recently
2,decoupled,openai-4.1-mini,7,f07,3,named_entity,visited the University of Manchester campus,YES,A visit to the University of Manchester campus,YES,A visit to the University of Manchester campus
2,decoupled,openai-4.1-mini,7,f08,3,quantitative,spent 45 minutes walking around the campus,NO,,NO,
2,decoupled,openai-4.1-mini,7,f09,3,emotional,felt excited about his daughter's potential future,YES,a hopeful gleam in her eye,YES,a hopeful gleam in her eye
2,decoupled,openai-4.1-mini,7,f10,4,relational,discussed university finances with his brother,YES,a long and practical conversation with her brother about the financial realities of university life,YES,a long and practical conversation with her brother about the financial realities of university life
2,decoupled,openai-4.1-mini,7,f11,4,quantitative,budgeted £300 for application fees and travel costs,YES,"Together, they budgeted around £300 for application fees and travel",YES,budgeted around £300 for application fees and travel
2,decoupled,openai-4.1-mini,7,f12,4,emotional,felt anxious about the financial implications of university,NO,,NO,
2,decoupled,openai-4.1-mini,7,f13,5,named_entity,"met with the head of the history department, Mr. Johnson",YES,"meeting with Mr. Johnson, head of the history department at her school",YES,"meeting with Mr. Johnson, head of the history department"
2,decoupled,openai-4.1-mini,7,f14,5,relational,received advice on university applications from Mr. Johnson,YES,I felt reassured by Mr. Johnson’s support and guidance,YES,His expert advice was a balm to frazzled nerves: 'I felt reassured by Mr. Johnson’s support and guidance.'
2,decoupled,openai-4.1-mini,7,f15,5,emotional,felt reassured by Mr. Johnson's support,NO,,YES,I felt reassured by Mr. Johnson’s support and guidance
2,decoupled,openai-4.1-mini,7,f16,6,quantitative,reviewed 5 different universities with his daughter,YES,five institutions boasting strong history programs on the itinerary,YES,five institutions boasting strong history programs on the itinerary
2,decoupled,openai-4.1-mini,7,f17,6,emotional,felt a mix of excitement and apprehension about the future,YES,I felt a mix of excitement and apprehension about the future during university visits,YES,I felt a mix of excitement and apprehension about the future during university visits
2,decoupled,openai-4.1-mini,7,f18,6,relational,bonded with his daughter over shared interests in history,NO,,NO,
2,decoupled,openai-4.1-mini,7,f19,7,named_entity,attended a university open day at Liverpool Hope University,YES,a four-hour open day at Liverpool Hope University,YES,a four-hour open day at Liverpool Hope University
2,decoupled,openai-4.1-mini,7,f20,7,quantitative,spent 4 hours at the open day,YES,four-hour open day,YES,four-hour open day at Liverpool Hope University
2,decoupled,openai-4.1-mini,7,f21,7,emotional,felt hopeful about the opportunities available for his daughter,YES,I felt hopeful about opportunities at Liverpool Hope University after the open day,YES,I felt hopeful about opportunities at Liverpool Hope University after the open day
3,neutral,openai-4.1-mini,7,f01,1,named_entity,"met with her business mentor, Claudia, to discuss bakery operations",NO,,NO,
3,neutral,openai-4.1-mini,7,f02,1,emotional,felt excited about the first day of opening her bakery,NO,,NO,
3,neutral,openai-4.1-mini,7,f03,1,quantitative,baked 300 pastries for the grand opening,NO,,NO,
3,neutral,openai-4.1-mini,7,f04,1,relational,celebrated the opening with her family and friends,NO,,NO,
3,neutral,openai-4.1-mini,7,f05,2,quantitative,spent 5 hours training her two apprentices,NO,,NO,
3,neutral,openai-4.1-mini,7,f06,2,emotional,felt overwhelmed by the amount of orders received,NO,,NO,
3,neutral,openai-4.1-mini,7,f07,2,relational,"had a productive meeting with her supplier, Michael",NO,,NO,
3,neutral,openai-4.1-mini,7,f08,3,named_entity,visited the Berlin Farmers' Market to source fresh ingredients,NO,,NO,
3,neutral,openai-4.1-mini,7,f09,3,quantitative,spent 120 euros on organic fruit and flour,NO,,NO,
3,neutral,openai-4.1-mini,7,f10,3,emotional,felt inspired by the variety of local produce available,NO,,NO,
3,neutral,openai-4.1-mini,7,f11,4,relational,had a brainstorming session with her apprentices about new pastry recipes,NO,,NO,
3,neutral,openai-4.1-mini,7,f12,4,emotional,was proud of her apprentices' creative ideas,NO,,NO,
3,neutral,openai-4.1-mini,7,f13,5,quantitative,baked 50 chocolate cakes for a local café,NO,,NO,
3,neutral,openai-4.1-mini,7,f14,5,named_entity,"received a positive review from a food blogger, Anna",NO,,NO,
3,neutral,openai-4.1-mini,7,f15,6,relational,"discussed marketing strategies with her friend, Lara",YES,the previous day’s focus on marketing strategies with her friend Lara,YES,focus on marketing strategies with her friend Lara
3,neutral,openai-4.1-mini,7,f16,6,emotional,felt grateful for the support from her community,YES,remaining encouraged by the support from customers and fellow entrepreneurs,YES,encouraged by the support from customers and fellow entrepreneurs
3,neutral,openai-4.1-mini,7,f17,7,quantitative,spent 3 hours on social media promoting her bakery,YES,dedicated about three hours to social media promotion,YES,dedicated about three hours to social media promotion
3,neutral,openai-4.1-mini,7,f18,7,named_entity,networked with other small business owners in Berlin at a local event,YES,attended a local networking event for small business owners in Berlin,YES,attended a local networking event for small business owners in Berlin
3,neutral,openai-4.1-mini,7,f19,7,emotional,felt hopeful about the future of her bakery,YES,increased her optimism about the bakery's future,YES,increased her optimism about the bakery's future
3,neutral,openai-4.1-mini,7,f20,7,relational,connected with a new customer who became a regular at her bakery,YES,connected with a new customer who became a regular visitor,YES,connected with a new customer who became a regular visitor
3,stylized,openai-4.1-mini,7,f01,1,named_entity,"met with her business mentor, Claudia, to discuss bakery operations",NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f02,1,emotional,felt excited about the first day of opening her bakery,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f03,1,quantitative,baked 300 pastries for the grand opening,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f04,1,relational,celebrated the opening with her family and friends,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f05,2,quantitative,spent 5 hours training her two apprentices,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f06,2,emotional,felt overwhelmed by the amount of orders received,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f07,2,relational,"had a productive meeting with her supplier, Michael",NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f08,3,named_entity,visited the Berlin Farmers' Market to source fresh ingredients,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f09,3,quantitative,spent 120 euros on organic fruit and flour,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f10,3,emotional,felt inspired by the variety of local produce available,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f11,4,relational,had a brainstorming session with her apprentices about new pastry recipes,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f12,4,emotional,was proud of her apprentices' creative ideas,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f13,5,quantitative,baked 50 chocolate cakes for a local café,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f14,5,named_entity,"received a positive review from a food blogger, Anna",NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f15,6,relational,"discussed marketing strategies with her friend, Lara",NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f16,6,emotional,felt grateful for the support from her community,NO,,UNCLEAR,
3,stylized,openai-4.1-mini,7,f17,7,quantitative,spent 3 hours on social media promoting her bakery,YES,Clocking in a solid three hours on social media,YES,Clocking in a solid three hours on social media
3,stylized,openai-4.1-mini,7,f18,7,named_entity,networked with other small business owners in Berlin at a local event,YES,rubbing elbows with Berlin’s vibrant small business scene,YES,rubbing elbows with Berlin’s vibrant small business scene
3,stylized,openai-4.1-mini,7,f19,7,emotional,felt hopeful about the future of her bakery,YES,sparked a fresh wave of hope and ambition,YES,sparked a fresh wave of hope and ambition
3,stylized,openai-4.1-mini,7,f20,7,relational,connected with a new customer who became a regular at her bakery,YES,a new regular customer who stumbled upon her online charm,YES,a new regular customer who stumbled upon her online charm
3,decoupled,openai-4.1-mini,7,f01,1,named_entity,"met with her business mentor, Claudia, to discuss bakery operations",YES,With business mentor Claudia by their side for last-minute wisdom,YES,With business mentor Claudia by their side for last-minute wisdom
3,decoupled,openai-4.1-mini,7,f02,1,emotional,felt excited about the first day of opening her bakery,YES,it was a moment steeped in excitement,YES,it was a moment steeped in excitement
3,decoupled,openai-4.1-mini,7,f03,1,quantitative,baked 300 pastries for the grand opening,YES,the counter adorned with 300 signature delights,YES,the counter adorned with 300 signature delights
3,decoupled,openai-4.1-mini,7,f04,1,relational,celebrated the opening with her family and friends,YES,surrounded by the warm cheers of family and friends,YES,surrounded by the warm cheers of family and friends
3,decoupled,openai-4.1-mini,7,f05,2,quantitative,spent 5 hours training her two apprentices,NO,,YES,Training them amidst a flood of orders quickly proved to be a balancing act
3,decoupled,openai-4.1-mini,7,f06,2,emotional,felt overwhelmed by the amount of orders received,YES,the challenge of keeping up with demand,YES,the challenge of keeping up with demand
3,decoupled,openai-4.1-mini,7,f07,2,relational,"had a productive meeting with her supplier, Michael",NO,,NO,
3,decoupled,openai-4.1-mini,7,f08,3,named_entity,visited the Berlin Farmers' Market to source fresh ingredients,YES,The visit to the Berlin Farmers’ Market on Day 3,YES,The visit to the Berlin Farmers’ Market on Day 3
3,decoupled,openai-4.1-mini,7,f09,3,quantitative,spent 120 euros on organic fruit and flour,YES,Spending 120 euros on vibrant organic fruits and artisanal flour,YES,Spending 120 euros on vibrant organic fruits and artisanal flour
3,decoupled,openai-4.1-mini,7,f10,3,emotional,felt inspired by the variety of local produce available,YES,the experience as “feeling like a dream”,YES,the experience as 'feeling like a dream'
3,decoupled,openai-4.1-mini,7,f11,4,relational,had a brainstorming session with her apprentices about new pastry recipes,YES,a creative brainstorming session with the apprentices on Day 4,YES,a creative brainstorming session with the apprentices on Day 4
3,decoupled,openai-4.1-mini,7,f12,4,emotional,was proud of her apprentices' creative ideas,YES,Pride in the apprentices’ progress was evident,YES,Pride in the apprentices’ progress was evident
3,decoupled,openai-4.1-mini,7,f13,5,quantitative,baked 50 chocolate cakes for a local café,YES,Day 5 saw the successful baking of 50 decadent chocolate cakes,YES,Day 5 saw the successful baking of 50 decadent chocolate cakes
3,decoupled,openai-4.1-mini,7,f14,5,named_entity,"received a positive review from a food blogger, Anna",YES,the glowing review from food blogger Anna,YES,The glowing review from food blogger Anna
3,decoupled,openai-4.1-mini,7,f15,6,relational,"discussed marketing strategies with her friend, Lara",YES,Marketing discussions on Day 6 with friend Lara,YES,Marketing discussions on Day 6 with friend Lara
3,decoupled,openai-4.1-mini,7,f16,6,emotional,felt grateful for the support from her community,YES,the baker’s gratitude for community support was palpable,YES,The baker’s gratitude for community support was palpable
3,decoupled,openai-4.1-mini,7,f17,7,quantitative,spent 3 hours on social media promoting her bakery,YES,three dedicated hours spent sharing mouthwatering photos,YES,three dedicated hours spent sharing mouthwatering photos
3,decoupled,openai-4.1-mini,7,f18,7,named_entity,networked with other small business owners in Berlin at a local event,YES,a local networking event for small business owners,YES,a local networking event for small business owners
3,decoupled,openai-4.1-mini,7,f19,7,emotional,felt hopeful about the future of her bakery,YES,feeling motivated and excited about the future,YES,feeling motivated and excited about the future
3,decoupled,openai-4.1-mini,7,f20,7,relational,connected with a new customer who became a regular at her bakery,YES,One lucky follower turned into a regular,YES,One lucky follower turned into a regular
4,neutral,openai-4.1-mini,7,f01,1,relational,met with editor Ahmet to discuss the upcoming article on local elections.,YES,"navigating editorial pressures from editors Ahmet, Selin, and others",YES,"navigating editorial pressures from editors Ahmet, Selin, and others"
4,neutral,openai-4.1-mini,7,f02,1,quantitative,spent 4 hours researching political party platforms.,NO,,NO,
